DD (grados),HR (% H.R.),Hour,Month,NO (µg/m³N),NO2 (µg/m³N),NOX (µg/m³N),O3 (µg/m³N),PM10 (µg/m³N),RS (W/m³),SO2 (µg/m³N),TMP (ºC),VV (m/s),Date,NO_roll_mean,NO2_roll_mean,NOX_roll_mean,PM10_roll_mean,O3_roll_mean,NO_lag1,NO2_lag1,NOX_lag1,PM10_lag1,O3_lag1,NO_lag2,NO2_lag2,NOX_lag2,PM10_lag2,O3_lag2
265.0,39.0,12,0.025822763455271174,4.0,10.0,15.0,71.0,5.0,350.0,3.0,15.0,1.0,2018-01-01 12:00:00,3.75,13.416666666666666,18.75,13.916666666666666,66.33333333333333,5.0,11.0,18.0,7.0,69.0,5.0,20.0,27.0,11.0,46.0
248.0,36.8,13,0.027974656661573,3.0,10.0,14.0,77.0,7.0,474.0,3.0,17.0,1.0,2018-01-01 13:00:00,3.8333333333333335,13.5,18.833333333333332,12.25,66.16666666666667,4.0,10.0,15.0,5.0,71.0,5.0,11.0,18.0,7.0,69.0
128.0,39.4,14,0.030126548968282207,4.0,11.0,17.0,77.0,8.0,482.0,3.0,19.0,1.0,2018-01-01 14:00:00,3.8333333333333335,13.666666666666666,19.0,7.583333333333333,65.66666666666667,3.0,10.0,14.0,7.0,77.0,4.0,10.0,15.0,5.0,71.0
184.99999999999997,33.6,15,0.03227844030619951,4.0,8.0,14.0,82.0,4.0,455.0,3.0,21.0,1.0,2018-01-01 15:00:00,4.0,13.666666666666666,19.25,7.583333333333333,65.41666666666667,4.0,11.0,17.0,8.0,77.0,3.0,10.0,14.0,7.0,77.0
232.00000000000003,33.6,16,0.03443033060612563,2.0,9.0,12.0,87.0,9.0,368.0,3.0,21.0,1.0,2018-01-01 16:00:00,4.0,13.583333333333334,19.25,7.333333333333333,65.58333333333333,4.0,8.0,14.0,4.0,82.0,4.0,11.0,17.0,8.0,77.0
243.00000000000003,35.400000000000006,17,0.03658221979886135,4.0,10.0,15.0,84.0,18.0,229.0,3.0,20.0,2.0,2018-01-01 17:00:00,3.9166666666666665,13.583333333333334,19.083333333333332,7.583333333333333,66.5,2.0,9.0,12.0,9.0,87.0,4.0,8.0,14.0,4.0,82.0
214.0,39.599999999999994,18,0.03873410781520748,2.0,17.0,21.0,76.0,22.0,76.0,4.0,19.0,1.0,2018-01-01 18:00:00,3.9166666666666665,13.916666666666666,19.333333333333332,8.666666666666666,67.0,4.0,10.0,15.0,18.0,84.0,2.0,9.0,12.0,9.0,87.0
237.0,57.0,19,0.04088599458596487,4.0,18.0,24.0,72.0,24.0,1.0,4.0,15.0,2.0,2018-01-01 19:00:00,3.8333333333333335,14.25,19.75,9.583333333333334,67.91666666666667,2.0,17.0,21.0,22.0,76.0,4.0,10.0,15.0,18.0,84.0
284.0,64.4,20,0.04303788004193439,4.0,28.999999999999996,35.0,60.99999999999999,18.0,1.0,4.0,14.0,2.0,2018-01-01 20:00:00,3.8333333333333335,14.166666666666666,19.666666666666668,10.833333333333334,69.83333333333333,4.0,18.0,24.0,24.0,72.0,2.0,17.0,21.0,22.0,76.0
171.0,61.6,21,0.045189764113916966,17.0,66.0,92.0,14.0,23.0,1.0,4.0,12.0,0.0,2018-01-01 21:00:00,3.8333333333333335,14.75,20.25,11.75,70.58333333333333,4.0,28.999999999999996,35.0,18.0,60.99999999999999,4.0,18.0,24.0,24.0,72.0
285.0,56.199999999999996,22,0.0473416467327136,19.0,70.0,98.0,11.0,28.000000000000004,1.0,4.0,10.0,1.0,2018-01-01 22:00:00,4.833333333333333,18.25,25.333333333333332,13.0,68.0,17.0,66.0,92.0,23.0,14.0,4.0,28.999999999999996,35.0,18.0,60.99999999999999
277.0,68.0,23,0.049493527829125285,18.0,64.0,92.0,10.0,10.0,1.0,4.0,10.0,0.0,2018-01-01 23:00:00,6.0,22.416666666666668,31.25,14.416666666666666,65.08333333333333,19.0,70.0,98.0,28.000000000000004,11.0,17.0,66.0,92.0,23.0,14.0
237.0,79.8,00,0.05164540733395309,8.0,54.0,66.0,18.0,14.0,1.0,4.0,9.0,0.0,2018-01-02 00:00:00,7.083333333333333,26.833333333333332,37.416666666666664,14.666666666666666,60.166666666666664,18.0,64.0,92.0,10.0,10.0,19.0,70.0,98.0,28.000000000000004,11.0
233.0,67.0,01,0.05379728517799817,3.0,28.999999999999996,33.0,38.0,10.0,1.0,4.0,9.0,1.0,2018-01-02 01:00:00,7.416666666666667,30.5,41.666666666666664,15.416666666666666,55.75,8.0,54.0,66.0,14.0,18.0,18.0,64.0,92.0,10.0,10.0
300.0,64.6,02,0.055949161292061636,4.0,27.0,33.0,34.0,8.0,1.0,3.0,8.0,1.0,2018-01-02 02:00:00,7.416666666666667,32.083333333333336,43.25,15.666666666666666,52.5,3.0,28.999999999999996,33.0,10.0,38.0,8.0,54.0,66.0,14.0,18.0
266.0,63.800000000000004,03,0.058101035606944774,4.0,19.0,25.0,38.0,7.0,1.0,3.0,8.0,1.0,2018-01-02 03:00:00,7.416666666666667,33.416666666666664,44.583333333333336,15.666666666666666,48.916666666666664,4.0,27.0,33.0,8.0,34.0,3.0,28.999999999999996,33.0,10.0,38.0
339.0,58.39999999999999,04,0.060252908053448836,4.0,18.0,24.0,47.0,10.0,1.0,3.0,10.0,1.0,2018-01-02 04:00:00,7.416666666666667,34.333333333333336,45.5,15.916666666666666,45.25,4.0,19.0,25.0,7.0,38.0,4.0,27.0,33.0,8.0,34.0
310.0,52.2,05,0.06240477856237519,2.0,8.0,11.0,69.0,10.0,1.0,3.0,11.0,3.0,2018-01-02 05:00:00,7.583333333333333,35.083333333333336,46.5,16.0,41.916666666666664,4.0,18.0,24.0,10.0,47.0,4.0,19.0,25.0,7.0,38.0
265.0,59.20000000000001,06,0.06455664706452523,5.0,17.0,24.0,53.0,8.0,1.0,3.0,10.0,1.0,2018-01-02 06:00:00,7.416666666666667,34.916666666666664,46.166666666666664,15.333333333333334,40.666666666666664,2.0,8.0,11.0,10.0,69.0,4.0,18.0,24.0,10.0,47.0
260.0,62.8,07,0.06670851349070044,5.0,33.0,41.0,35.0,10.0,1.0,3.0,9.0,1.0,2018-01-02 07:00:00,7.666666666666667,34.916666666666664,46.416666666666664,14.166666666666666,38.75,5.0,17.0,24.0,8.0,53.0,2.0,8.0,11.0,10.0,69.0
240.99999999999997,60.199999999999996,08,0.06886037777170234,19.0,62.0,91.0,11.0,16.0,1.0,4.0,8.0,1.0,2018-01-02 08:00:00,7.75,36.166666666666664,47.833333333333336,13.0,35.666666666666664,5.0,33.0,41.0,10.0,35.0,5.0,17.0,24.0,8.0,53.0
250.0,61.8,09,0.07101223983833255,66.0,73.0,175.0,3.0,24.0,11.0,5.0,8.0,0.0,2018-01-02 09:00:00,9.0,38.916666666666664,52.5,12.833333333333334,31.5,19.0,62.0,91.0,16.0,11.0,5.0,33.0,41.0,10.0,35.0
